町丁コード,区,町丁名,経度,緯度,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,500m以内AED数
14133308000,中原区,等々力,139.65113,35.588803,3931,23499.87,0.24053160463604925,8
14133310000,中原区,上丸子天神町,139.662899,35.586998,27818,149077.56,0.31661899811359145,1
14133311001,中原区,丸子通一丁目,139.664516,35.582731,41766,223685.19,0.11888235153080104,9
14133311002,中原区,丸子通二丁目,139.661643,35.583318,26275,143969.43,0.15821126982391714,8
14133312000,中原区,新丸子町,139.660899,35.580193,31200,162302.83,0.14514258334485997,20
14133313000,中原区,上丸子八幡町,139.667367,35.582666,22403,136701.78,0.34134570348630805,5
14133314001,中原区,上丸子山王町一丁目,139.668063,35.578615,22263,122294.82,0.2672830261096375,6
14133314002,中原区,上丸子山王町二丁目,139.666854,35.576495,19407,108523.68000000001,0.15312073787434347,8
14133315000,中原区,下沼部,139.668641,35.573143,48877,258909.03,0.11483238674248497,8
14133316000,中原区,中丸子,139.669375,35.568353,169613,863625.98,0.15088995287045662,8
14133317000,中原区,市ノ坪,139.664025,35.56689,119663,629591.91,0.055866806632770924,10
14133318000,中原区,北谷町,139.671803,35.562743,23916,138328.53,0.08286763284022254,5
14133319000,中原区,田尻町,139.672007,35.559833,20290,116949.34,0.0890676912612696,5
14133320001,中原区,上平間,139.676806,35.56214,107950,604630.96,0.2177720013520854,6
14133321000,中原区,大倉町,139.666221,35.556149,0,0.0,0.1911881650121631,2
14133322100,中原区,苅宿,139.663531,35.56204,54447,292110.31,0.04974415455574416,9
14133323100,中原区,西加瀬,139.659944,35.55991,22982,120405.5,0.2011563971763132,8
14133324100,中原区,木月住吉町,139.65861,35.566405,44564,235655.85,0.26087334348562985,8
14133325000,中原区,今井仲町,139.651776,35.574822,43925,211357.85,0.13784352870617034,12
14133326000,中原区,今井南町,139.6549,35.572262,50846,276097.52,0.11721913063797844,10
14133327000,中原区,今井上町,139.650187,35.578409,39870,187044.08,0.16352769333994113,7
14133328000,中原区,今井西町,139.648412,35.575108,48491,233328.26,0.1626199650843062,6
14133329100,中原区,木月大町,139.649914,35.571082,29938,152870.19,0.039751421202410805,9
14133330100,中原区,木月祗園町,139.650824,35.568177,25116,118524.84,0.18940349684001742,10
14133331100,中原区,木月伊勢町,139.654441,35.568991,18904,86700.57,0.11430169007171093,8
14133332101,中原区,木月一丁目,139.65275,35.56586,25705,147035.6,0.15861184676089793,9
14133332102,中原区,木月二丁目,139.655613,35.563502,29030,163008.7,0.07922875062212288,8
14133332103,中原区,木月三丁目,139.650173,35.562799,59054,339032.76,0.2634582703367109,6
14133332104,中原区,木月四丁目,139.654916,35.55888,72488,383205.75,0.15560327384809824,5
14133333001,中原区,井田一丁目,139.64358,35.562617,33557,185840.55,0.2508566686746796,4
14133333002,中原区,井田二丁目,139.642328,35.560423,23190,132985.1,0.173131278358227,2
14133333003,中原区,井田三丁目,139.636919,35.562943,35168,182464.56,0.052053130696107563,11
14133334000,中原区,井田中ノ町,139.644467,35.565312,72651,368686.39,0.19389382157442425,7
14133335000,中原区,井田杉山町,139.642855,35.569439,47651,230417.11000000002,0.11733209275578217,7
14133336000,中原区,井田三舞町,139.646257,35.569269,42073,209165.81,0.11258915744054394,8
14133338001,中原区,下小田中一丁目,139.637971,35.579761,45264,229326.02,0.09658703159217032,11
14133338002,中原区,下小田中二丁目,139.643373,35.577398,56943,286939.89,0.17934845086023432,9
14133338003,中原区,下小田中三丁目,139.643038,35.573337,57971,277032.13,0.293468221614267,6
14133338004,中原区,下小田中四丁目,139.637938,35.576175,46166,226003.01,0.17137635189643138,8
14133338005,中原区,下小田中五丁目,139.633928,35.574796,32382,135288.2,0.16236541836261667,7
14133338006,中原区,下小田中六丁目,139.638045,35.571931,51580,260214.76,0.21191850417014618,4
14133339000,中原区,新城中町,139.633718,35.5827,20395,107346.55,0.1656058463687234,10
14133340001,中原区,下新城一丁目,139.63325,35.579807,18489,92318.56,0.09810334592267138,7
14133340002,中原区,下新城二丁目,139.633194,35.577541,20206,101773.7,0.04963552227010305,8
14133340003,中原区,下新城三丁目,139.630532,35.579812,27677,129597.12,0.2043961328729692,7
14133341001,中原区,上新城一丁目,139.629148,35.59009,15299,79430.46,0.23194809654430332,6
14133341002,中原区,上新城二丁目,139.630419,35.587577,13657,76842.39,0.03527596234649322,8
14133342000,中原区,新城,139.627738,35.587611,1423,9555.25,0.0035423820923122153,5
14133342001,中原区,新城一丁目,139.63153,35.585078,10115,60955.33,0.06501559359637775,7
14133342002,中原区,新城二丁目,139.631646,35.582811,12084,62460.98,0.15414973141960203,7
14133342003,中原区,新城三丁目,139.630169,35.585294,6648,39053.22,0.07047431777693228,7
14133342004,中原区,新城四丁目,139.630129,35.582794,4711,27015.4,0.16424599225431036,6
14133342005,中原区,新城五丁目,139.628958,35.586113,7540,47482.74,0.10687157799236623,6
14133343000,中原区,上丸子,139.664374,35.575166,0,0.0,0.179844443680514,16
14134401101,高津区,溝口一丁目,139.613708,35.599839,14611,95034.42,0.011349935852389042,30
14134401102,高津区,溝口二丁目,139.610269,35.602229,31659,212794.27,0.1397009817338233,26
14134401103,高津区,溝口三丁目,139.612827,35.603529,39202,243538.34,0.007881587266721255,22
14134401104,高津区,溝口四丁目,139.615659,35.604628,17697,111683.01,0.08179282327722902,18
14134401105,高津区,溝口五丁目,139.614705,35.606887,34130,223927.68,0.09682261210436346,10
14134401106,高津区,溝口六丁目,139.613045,35.608835,33347,195559.63,0.15702327457587636,9
14134402101,高津区,久地一丁目,139.60657,35.606915,32044,198442.42,0.15591078542514908,7
14134402102,高津区,久地二丁目,139.61271,35.61232,24977,166666.18,0.18572189930511063,3
14134402103,高津区,久地三丁目,139.604233,35.60995,48185,270943.41,0.043652405701456676,8
14134402104,高津区,久地四丁目,139.595626,35.610172,34565,217195.26,0.23484515947781498,3
14134402200,高津区,久地,139.603626,35.611999,7190,36345.53,0.22625128661615176,9
14134403000,高津区,宇奈根,139.603106,35.614904,17388,100526.52,0.1533809440995589,6
14134404101,高津区,二子一丁目,139.620089,35.609156,50665,301199.71,0.29168137108816244,4
14134404102,高津区,二子二丁目,139.620223,35.605985,25040,154018.51,0.053431588038052674,6
