町丁コード,区,町丁名,緯度,経度,総人口,高齢化率,後期高齢化率,高齢者人口,最寄りAED距離_km,最寄りAED名,500m以内AED数,1km以内AED数,高齢化率_norm,距離_norm,人口_norm,リスクスコア
12008,川崎区,大川町,35.4952181,139.7147839,1,0.0,0.0,0,0.18444727076747844,大川町産業会館,1,2,0.0,15.47190521893547,0.0,6.188762087574188
12010,川崎区,扇町,35.5009918,139.7228338,42,71.429,42.857,30,1.023716990614578,㈱ベイトランスポート,0,0,71.429,86.04501003001123,0.15604780391261325,55.89351835317828
12011,川崎区,小田２丁目,35.5134504,139.6996067,2817,24.92,14.2,702,0.1230532247855718,田島中学校,9,28,24.92,10.309359330056676,10.717819897998021,14.815089701422076
12012,川崎区,小田３丁目,35.513581,139.7039782,2293,29.612,16.049,679,0.1504500297359179,セブン‐イレブン　川崎小田３丁目店,11,34,29.612,12.613121209612654,8.723452843114867,16.545884336779523
12013,川崎区,小田４丁目,35.5106869,139.7004407,2829,24.355,13.22,689,0.1519377429912144,サンドラッグ小田銀座,12,22,24.355,12.738221092298751,10.763492425972444,15.630836164711233
12014,川崎区,小田５丁目,35.5111699,139.7060068,3056,24.705,13.351,755,0.09377838638589688,東小田保育園,8,33,24.705,7.847676047733615,11.62746441348862,14.038809743140032
12015,川崎区,小田６丁目,35.5090872,139.7057322,1473,27.902,15.275,411,0.29019427643212375,セブン‐イレブン　川崎小田７丁目店,7,30,27.901999999999997,24.364034099253047,5.602496764862601,19.79696266916
12016,川崎区,小田７丁目,35.5090819,139.7086656,962,16.424,7.277,158,0.053442928872850945,セブン‐イレブン　川崎小田７丁目店,4,30,16.424,4.455919615499309,3.6576082819517395,7.806850330785245
12017,川崎区,小田栄１丁目,35.5160531,139.7045119,1542,30.999,17.315,478,0.12946324095728487,渡田老人いこいの家,14,36,30.999,10.84836929601781,5.865113800715537,15.398581858621785
12018,川崎区,小田栄２丁目,35.51359,139.7088293,5020,9.402,4.92,472,0.12411520821373463,イトーヨーカドーアネックス 事務棟,14,40,9.402,10.398660142430813,19.10253482530258,12.7108245045631
12019,川崎区,鋼管通１丁目,35.5177706,139.7128273,2143,26.225,14.559,562,0.07364742666113212,セブン‐イレブン　川崎鋼管通店,14,42,26.225000000000005,6.1548896919215705,8.152546243434575,12.775219749799003
12020,川崎区,鋼管通２丁目,35.5162635,139.7153502,1388,25.576,14.409,355,0.2126216640196609,大島小学校,14,39,25.576,17.84105349267157,5.278983025043769,16.392916304581757
12021,川崎区,鋼管通３丁目,35.5139562,139.7136322,1231,24.533,14.703,302,0.0995634469459121,セブン‐イレブン　浜川崎店,15,31,24.533,8.334134304936978,4.681434117378397,12.09798395718831
12022,川崎区,鋼管通４丁目,35.5116173,139.7124081,843,21.945,13.049,185,0.053375493535325315,セブン‐イレブン　川崎鋼管通４丁目店,14,30,21.945,4.450249065221344,3.2046890462053743,9.32500633995015
12023,川崎区,鋼管通５丁目,35.5107562,139.7142699,42,69.048,50.0,29,0.1825877393924648,ＪＦＥ東日本ジーエス株式会社,7,26,69.048,15.315539631657723,0.15604780391261325,26.887430193836877
12024,川崎区,桜本１丁目,35.5192136,139.7229601,2768,26.156,14.957,724,0.03968751396241596,桜川球場,8,30,26.156000000000002,3.299244573808518,10.531323742102458,12.325894952154146
12025,川崎区,桜本２丁目,35.5216793,139.7255724,3598,30.906,17.954,1112,0.2148710557643523,桜本中学校,8,28,30.906,18.030201933995293,13.690340260333409,20.59098285169814
12026,川崎区,白石町,35.6080726,139.5159181,21,23.81,4.762,5,0.055195524164591996,主都福音キリスト教会,5,18,23.81,4.6032930858992325,0.07612087995737231,9.007153498346906
12027,川崎区,田島町,35.5318437,139.7687813,2056,29.183,17.558,600,1.1896725703490192,三菱ケミカル物流株式会社川崎油槽所,0,0,29.182999999999996,100.0,7.821420415620005,51.101326124686
12028,川崎区,田辺新田,35.5047259,139.7072352,3,66.667,0.0,2,0.4600191940109778,セブン‐イレブン　川崎小田７丁目店,3,11,66.667,38.644391682043285,0.0076120879957372305,35.460140299216036
12029,川崎区,浜町１丁目,35.5170804,139.7173185,1951,27.114,14.608,529,0.028609564587056102,大島小学校,9,37,27.114,2.367714144590252,7.4217857958438,11.30782139658924
12030,川崎区,浜町２丁目,35.5141242,139.7159594,2353,25.839,14.28,608,0.0305441769624656,臨港中学校,16,33,25.839000000000002,2.530393196044,8.951815482986984,11.449401923313694
12031,川崎区,浜町３丁目,35.515035,139.720805,1479,23.732,12.711,351,0.12377821985025687,あいせん保育園,9,27,23.732,10.370323226975122,5.625333028849814,12.955329199444991
12032,川崎区,浜町４丁目,35.515035,139.720805,930,18.925,11.183,176,0.12377821985025687,あいせん保育園,9,27,18.925,10.370323226975122,3.5358148740199438,10.886373752996032
12033,川崎区,南渡田町,35.5083574,139.7164516,3,66.667,66.667,2,0.30492061887002014,ＪＦＥ東日本ジーエス株式会社,2,21,66.667,25.6023531804452,0.0076120879957372305,30.2433248985768
