台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
91,下平間老人いこいの家,受付,212-0053,幸区下平間357-6,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.54808269,139.6857622,,,
92,古市場老人いこいの家,受付,212-0052,幸区古市場1781-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.55130561,139.6838252,,,
93,小倉老人いこいの家,受付,212-0054,幸区小倉5-32-5,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.53767694,139.6639717,,,
94,ごうじ老人いこいの家,受付,211-0053,中原区上小田中7-6-18,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58123344,139.6483138,,,
95,等々力老人いこいの家,受付,211-0052,中原区等々力1-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58501616,139.6490534,,,
96,中丸子老人いこいの家,受付,211-0012,中原区中丸子382-8,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.57048,139.6683,,,○
97,新城老人いこいの家,受付,211-0042,中原区下新城1-2-4,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58024458,139.6342329,,,
98,西加瀬老人いこいの家,受付,211-0024,中原区西加瀬10-5,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.561703,139.6606721,,,
99,井田老人いこいの家,受付,211-0037,中原区井田三舞町14-16,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.56872278,139.6473526,,,
100,丸子多摩川老人いこいの家,受付,211-0006,中原区丸子通1-639-3,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58203669,139.6632533,,,
101,高津老人いこいの家,受付,213-0011,高津区久本3-6-22,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59874619,139.6178862,,,
102,上作延老人いこいの家,受付,213-0034,高津区上作延5-26-55,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59619928,139.6001349,,,
103,子母口老人いこいの家,受付,213-0023,高津区子母口983,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.56985017,139.6277141,,,
104,末長老人いこいの家,受付,213-0013,高津区末長2-27-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.5888125,139.6115884,,,
105,梶ケ谷老人いこいの家,受付,213-0015,高津区梶ケ谷5-8-27,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58286678,139.6063852,,,
106,東高津老人いこいの家,受付,213-0006,高津区下野毛1-3-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59744308,139.6366897,,,
107,くじ老人いこいの家,受付,213-0032,高津区久地3-16-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.60811458,139.6056771,,,
108,平老人いこいの家,1階下駄箱上,216-0022,宮前区平2-13-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.60187842,139.5748751,,,
109,有馬老人いこいの家,受付,216-0003,宮前区有馬4-5-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.57683011,139.5829341,,,
110,野川老人いこいの家,ロビー,216-0043,宮前区野川台1-25-23,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.57352803,139.6024916,,,
111,白幡台老人いこいの家,受付,216-0025,宮前区白幡台1-13-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59779219,139.5679694,,,
112,鷲ケ峰老人いこいの家,受付,216-0014,宮前区菅生ケ丘32-10,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59677119,139.5380296,,,
