台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
606,宮前平中学校,１階玄関脇ピロティ,216-0006,宮前区宮前平2-7,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.58946403,139.5833176,,,
607,枡形中学校,体育館入口,214-0032,多摩区枡形1-22-1,365日24時間使用可ではない,8時15分,21時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.61866697,139.5481758,,,
608,生田中学校特別創作活動センター,1階事務所前,214-0034,多摩区三田2-3303-1,365日24時間使用可ではない,7時30分,21時30分,月火水木金,平日でもAEDを利用できない場合があります。,施設利用者・職員のみ,35.6134,139.54645,,,
609,川崎市立田島支援学校,施設開放用玄関,210-0853,川崎区田島町20-5,365日24時間使用可ではない,8時30分,17時00分,平はは８時半から１７時で使用可。休日は、施設開放の時間の可,施設開放をしていない場合は平日17時まで使用可,施設利用者・職員のみ,35.51533075,139.7120059,,,
610,久地小学校,サテライト（校庭）,213-0032,高津区久地4-2-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.61128614,139.6001297,,,
611,新町小学校,体育館,210-0844,川崎区渡田新町3-15-1,365日24時間使用可ではない,8時30分,17時00分,月火水木金,平日でもAEDを利用できない場合があります。,外部の使用も認める,35.51810189,139.7007324,,,
612,中原図書館,5Fカウンター,211-0063,中原区小杉町3-1301,365日24時間使用可ではない,9時30分,21時00分,開館日の開館時間内,,外部の使用も認める,35.57570528,139.6592478,,,
613,高津図書館,1階カウンター,213-0001,高津区溝口4-16-3,365日24時間使用可ではない,9時30分,"月〜金 19時
土日祝 17時",開館日の開館時間内,"休館日：
第３月曜日（祝日・国民の休日に当たる場合は開館し、代わりに直後の平日を休館）、館内特別整理期間（蔵書点検など）、年末年始（12月29日〜1月4日）",外部の使用も認める,35.60521483,139.6151135,,,
614,総合教育センター　総務室,受付,213-0001,高津区溝口6-9-3,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.60892875,139.6149063,,,
615,教育会館,受付,２１１−００１１,中原区下沼部１７０９−４,365日24時間使用可ではない,9時00分,17時00分,平日,,外部の使用も認める,35.57511,139.66705,,,
616,日本民家園,本館券売所,214-0032,多摩区枡形7-1-1,365日24時間使用可ではない,9時30分,17時00分,休園日による（月曜日〔祝日の場合を除く〕、祝日の翌日〔土日祝の場合を除く〕、年末年始、臨時休園日）,,外部の使用も認める,35.60985187,139.5618518,,,
617,青少年科学館,1階エントランス,214-0032,多摩区枡形7-1-2,365日24時間使用可ではない,9時30分,17時00分,原則火〜日（休館日以外）,"年末年始12月29日〜1月3日は使用不可。
火〜日でも、祝日の翌日や臨時休館日等、使用不可になる場合もあります。",外部の使用も認める,35.60840444,139.5615146,,,
